607 374 463 357
488 93 368 87
275 347 146 333
431 262 309 249
281 347 152 333
530 384 395 366
556 368 419 352
273 366 144 352
592 320 453 306
219 323 87 308
221 323 87 308
384 174 263.52 159.84
352 355 227 340
479 326 352 312
320 357 193.2 342
323 335 196.8 320.4
291 360 162 346
509 333 378 319
220 336 87 321
276 366 146 353
376 360 251 345
281 362 152 349
326 390 199 376
229 334 96 319
320 402 191 388
377 363 251 348
434 361 307 346
547 238 417 230
527 238 399 229
289 333 163 319
323 400 195 386
225 333 91 318
228 213 99.6 192
334 213 213 197
302 237 179 220
507 332 376 317
541 217 413 209
318 401 191 388
286 331 158.4 315.6
217 237 86 217
383 363 256 349
322 384 195 370
458 401 329 386
231 335 98 320
596 292 458 281
535.2 328.8 403 315
555.6 368.4 419 352
487.2 92.4 367.2 86.4
508.8 333.6 378 319.2
273.6 366 142.56 351.36
382.8 363.6 256.8 349.2
282 360 152.64 345.6
271.2 333.6 141.6 319.2
280.8 362.4 151.2 348.48
571.2 361.2 434 346
433.2 361.2 307.2 345.6
382.8 174 262.656 160.704
451.2 300 326.4 285.6
290.4 361.2 162 346.8
247.2 361.2 115.2 347.04
457.2 402 329 386
322.8 399.6 194.4 386.4
220.8 322.8 86.4 307.2
591.6 325.2 452 312
478.8 326.4 351.6 312
430.8 261.6 308.4 248.4
543.6 328.8 411 314
285.6 331.2 158.4 315.36
225.6 332.4 92.4 318
290.4 333.6 163.2 319.2
351.6 354 226.8 339.6
433.2 351.6 307 338
423.6 351.6 298.8 337.2
322.8 334.8 196.8 320.4
326.4 390 199.2 376.8
219.6 336 84.96 321.12
354 351.6 229.2 337.2
546 238.8 417 230
228 213.6 99.36 191.52
333.6 213.6 213 197
322.8 350.4 196.8 336
528 382.8 395 366
273.6 346.8 144 332.4
543.6 388.8 408 371
541.2 217.2 212.4 196.8
217.2 237.6 85.2 217.2
595.2 297.6 458 286
268.8 342 139.68 326.88
584.4 297.6 448 287
595.2 291.6 458 281
319.2 356.4 193.2 342
381.6 364.32 256.8 349.2
544.32 388.8 407.52 371.52
544.32 328.32 410.4 313.92
285.12 331.2 157.248 316.224
325.44 336.96 196.992 321.408
571.68 361.44 433.44 345.6
561.6 364.32 424.8 347.04
375.84 358.56 250.56 344.16
272.16 365.76 142.56 351.36
270.72 332.64 141.696 319.68
250.56 355.68 118.08 342.72
508.32 332.64 378.72 318.24
381.6 174.24 262.656 160.704
554.4 367.2 418.8 351.6
322.56 334.08 197.28 319.68
423.36 351.36 298.08 335.52
240.48 370.08 103.68 357.696
352.8 351.36 228.96 336.96
450.72 300.96 325.44 286.56
218.88 335.52 84.96 321.12
541.44 217.44 413.28 208.8
279.36 347.04 151.2 332.64
273.6 345.6 144 331.2
434.88 364.32 308.16 349.92
269.28 341.28 139.68 326.88
332.64 213.12 212.4 196.8
571.68 364.32 432 349.2
290.88 332.64 162.72 318.24
499.68 263.52 372.96 252
228.96 213.12 99.36 191.52
430.56 262.08 308.16 249.12
280.8 361.44 151.2 348.48
